book_id,book_title,query,source
0867f869-455d-41be-bb09-94b331ae8fbc,"Любовь, которая убивает. Как распознать психологическое насилие и построить здоровые отношения",assistant,synthetic_qwen
0867f869-455d-41be-bb09-94b331ae8fbc,"Любовь, которая убивает. Как распознать психологическое насилие и построить здоровые отношения",Как найти психологическое насилие в отношениях?,synthetic_qwen
0867f869-455d-41be-bb09-94b331ae8fbc,"Любовь, которая убивает. Как распознать психологическое насилие и построить здоровые отношения",Что такое психологическое насилие в романтических отношениях?,synthetic_qwen
0867f869-455d-41be-bb09-94b331ae8fbc,"Любовь, которая убивает. Как распознать психологическое насилие и построить здоровые отношения","Узнайте больше о ""Любви, которая убивает",synthetic_qwen
d4e8574c-8631-4688-86e4-e200e13bbd74,"Python все в одном для чайников, 3-е издание",assistant,synthetic_qwen
d4e8574c-8631-4688-86e4-e200e13bbd74,"Python все в одном для чайников, 3-е издание",Кодирование Python для начинающих,synthetic_qwen
d4e8574c-8631-4688-86e4-e200e13bbd74,"Python все в одном для чайников, 3-е издание",Что такое Python?,synthetic_qwen
d4e8574c-8631-4688-86e4-e200e13bbd74,"Python все в одном для чайников, 3-е издание",Как научиться программировать на Python?,synthetic_qwen
efef559e-b84f-4584-9b93-dfe8016c07d2,Дневник Бекона из Роблокс. Новый мир! Книга 9,assistant,synthetic_qwen
efef559e-b84f-4584-9b93-dfe8016c07d2,Дневник Бекона из Роблокс. Новый мир! Книга 9,Какие книги про мир Роблокс?,synthetic_qwen
efef559e-b84f-4584-9b93-dfe8016c07d2,Дневник Бекона из Роблокс. Новый мир! Книга 9,Путешествие по миру Роблокс,synthetic_qwen
efef559e-b84f-4584-9b93-dfe8016c07d2,Дневник Бекона из Роблокс. Новый мир! Книга 9,Чем заполняются джунгли мира Роблокс?,synthetic_qwen
ef9026b2-8c0e-4c96-abe4-c27cab7ee142,Комплект из 3-х книг: Зигмунд Фрейд. Классика психоанализа (ИК),assistant,synthetic_qwen
ef9026b2-8c0e-4c96-abe4-c27cab7ee142,Комплект из 3-х книг: Зигмунд Фрейд. Классика психоанализа (ИК),Как работает психологический аффект?,synthetic_qwen
ef9026b2-8c0e-4c96-abe4-c27cab7ee142,Комплект из 3-х книг: Зигмунд Фрейд. Классика психоанализа (ИК),Почему мы вытесняем неизбежные переживания?,synthetic_qwen
ef9026b2-8c0e-4c96-abe4-c27cab7ee142,Комплект из 3-х книг: Зигмунд Фрейд. Классика психоанализа (ИК),Что такое животное магнитизм?,synthetic_qwen
22e16b63-5cb5-4f15-b2c5-0b3aff0e11e5,Под звездным дождем,assistant,synthetic_qwen
22e16b63-5cb5-4f15-b2c5-0b3aff0e11e5,Под звездным дождем,*Под звездным дождем — история юного романа**,synthetic_qwen
22e16b63-5cb5-4f15-b2c5-0b3aff0e11e5,Под звездным дождем,*Любимый роман: Под звездным дождем**,synthetic_qwen
22e16b63-5cb5-4f15-b2c5-0b3aff0e11e5,Под звездным дождем,*Под звездным дождем: история юного любви**,synthetic_qwen
c7d56984-4546-4607-acc0-200622952825,Когда на уборку нет сил. Бережная система порядка без стресса и чувства вины,assistant,synthetic_qwen
c7d56984-4546-4607-acc0-200622952825,Когда на уборку нет сил. Бережная система порядка без стресса и чувства вины,"Какие книги о том, как сохранить чистоту в доме без утомления?",synthetic_qwen
c7d56984-4546-4607-acc0-200622952825,Когда на уборку нет сил. Бережная система порядка без стресса и чувства вины,Организация дома: эффективные методы без стресса,synthetic_qwen
c7d56984-4546-4607-acc0-200622952825,Когда на уборку нет сил. Бережная система порядка без стресса и чувства вины,Справиться с домашней гигиеной: что нужно знать начинающему хозяйке,synthetic_qwen
a9e14cc5-4e3d-4152-9a9d-b03d853b2d6c,"Свет между нами. Как заново почувствовать связь с теми, кого мы потеряли. Откровения медиума",assistant,synthetic_qwen
a9e14cc5-4e3d-4152-9a9d-b03d853b2d6c,"Свет между нами. Как заново почувствовать связь с теми, кого мы потеряли. Откровения медиума",Как можно стать медиумом?,synthetic_qwen
a9e14cc5-4e3d-4152-9a9d-b03d853b2d6c,"Свет между нами. Как заново почувствовать связь с теми, кого мы потеряли. Откровения медиума",Узнайте о возможностях медиума через Лору Линн Джексон,synthetic_qwen
a9e14cc5-4e3d-4152-9a9d-b03d853b2d6c,"Свет между нами. Как заново почувствовать связь с теми, кого мы потеряли. Откровения медиума","Найдите книги, которые помогают справиться со потерей людей",synthetic_qwen
1ce6f67f-d162-4134-8db4-6a82129cd09a,Свет между нами. Откровения медиума о потустороннем мире,assistant,synthetic_qwen
1ce6f67f-d162-4134-8db4-6a82129cd09a,Свет между нами. Откровения медиума о потустороннем мире,"Как читатель подскажите, какая книга 'Свет между нами'?",synthetic_qwen
1ce6f67f-d162-4134-8db4-6a82129cd09a,Свет между нами. Откровения медиума о потустороннем мире,Что такое медитация? Как можно узнать об этом из книги 'Свет между нами'?,synthetic_qwen
1ce6f67f-d162-4134-8db4-6a82129cd09a,Свет между нами. Откровения медиума о потустороннем мире,"Почему автор считает, что мир между нами не является традиционно понимаемым?",synthetic_qwen
ac2e39fe-0e62-4b25-a6c4-b69fca64a1d5,Протокол Уолс. Новейшее исследование аутоиммунных заболеваний. Программа лечения рассеянного склероза на основе принципов структурного питания,assistant,synthetic_qwen
ac2e39fe-0e62-4b25-a6c4-b69fca64a1d5,Протокол Уолс. Новейшее исследование аутоиммунных заболеваний. Программа лечения рассеянного склероза на основе принципов структурного питания,Автор книги - Терри Уолс,synthetic_qwen
ac2e39fe-0e62-4b25-a6c4-b69fca64a1d5,Протокол Уолс. Новейшее исследование аутоиммунных заболеваний. Программа лечения рассеянного склероза на основе принципов структурного питания,Протокол Уолс. Новые исследования,synthetic_qwen
ac2e39fe-0e62-4b25-a6c4-b69fca64a1d5,Протокол Уолс. Новейшее исследование аутоиммунных заболеваний. Программа лечения рассеянного склероза на основе принципов структурного питания,Автор-учёный Терри Уолс,synthetic_qwen
da176359-a8dd-4431-bbad-77614738ac04,Их глаза видели Бога. Роман о любви и надежде,assistant,synthetic_qwen
